2023-08-14 02:54:57,014 - INFO: Epoch:1/200 || Epochiter: 1/18 || Iter: 1/3600 || Loc: 5.8856 Cla: 14.3706 Landm: 38.5342 || LR: 0.00100000 || Batchtime: 8.5369 s || ETA: 8:32:12
2023-08-14 02:54:57,285 - INFO: Epoch:1/200 || Epochiter: 2/18 || Iter: 2/3600 || Loc: 5.0121 Cla: 11.1246 Landm: 34.0998 || LR: 0.00100000 || Batchtime: 0.2436 s || ETA: 0:14:36
2023-08-14 02:54:57,432 - INFO: Epoch:1/200 || Epochiter: 3/18 || Iter: 3/3600 || Loc: 5.0514 Cla: 8.6632 Landm: 35.0624 || LR: 0.00100000 || Batchtime: 0.1173 s || ETA: 0:07:02
2023-08-14 02:54:57,587 - INFO: Epoch:1/200 || Epochiter: 4/18 || Iter: 4/3600 || Loc: 4.4461 Cla: 7.4710 Landm: 33.8964 || LR: 0.00100000 || Batchtime: 0.1330 s || ETA: 0:07:58
2023-08-14 02:54:57,773 - INFO: Epoch:1/200 || Epochiter: 5/18 || Iter: 5/3600 || Loc: 4.8050 Cla: 6.9605 Landm: 34.3255 || LR: 0.00100000 || Batchtime: 0.1615 s || ETA: 0:09:40
2023-08-14 02:54:57,911 - INFO: Epoch:1/200 || Epochiter: 6/18 || Iter: 6/3600 || Loc: 4.5042 Cla: 6.1470 Landm: 34.0321 || LR: 0.00100000 || Batchtime: 0.1084 s || ETA: 0:06:29
2023-08-14 02:54:58,049 - INFO: Epoch:1/200 || Epochiter: 7/18 || Iter: 7/3600 || Loc: 3.7981 Cla: 5.5748 Landm: 26.6829 || LR: 0.00100000 || Batchtime: 0.1129 s || ETA: 0:06:45
2023-08-14 02:54:58,209 - INFO: Epoch:1/200 || Epochiter: 8/18 || Iter: 8/3600 || Loc: 4.7366 Cla: 4.9920 Landm: 28.3989 || LR: 0.00100000 || Batchtime: 0.1291 s || ETA: 0:07:43
2023-08-14 02:54:58,368 - INFO: Epoch:1/200 || Epochiter: 9/18 || Iter: 9/3600 || Loc: 4.1922 Cla: 4.4413 Landm: 26.9208 || LR: 0.00100000 || Batchtime: 0.1305 s || ETA: 0:07:48
2023-08-14 02:54:58,522 - INFO: Epoch:1/200 || Epochiter: 10/18 || Iter: 10/3600 || Loc: 4.4567 Cla: 3.9020 Landm: 24.8154 || LR: 0.00100000 || Batchtime: 0.1304 s || ETA: 0:07:48
2023-08-14 02:54:58,673 - INFO: Epoch:1/200 || Epochiter: 11/18 || Iter: 11/3600 || Loc: 3.6383 Cla: 3.5186 Landm: 22.6499 || LR: 0.00100000 || Batchtime: 0.1221 s || ETA: 0:07:18
2023-08-14 02:54:58,835 - INFO: Epoch:1/200 || Epochiter: 12/18 || Iter: 12/3600 || Loc: 4.0461 Cla: 3.3711 Landm: 20.2350 || LR: 0.00100000 || Batchtime: 0.1375 s || ETA: 0:08:13
2023-08-14 02:54:58,996 - INFO: Epoch:1/200 || Epochiter: 13/18 || Iter: 13/3600 || Loc: 3.6091 Cla: 3.0829 Landm: 18.7508 || LR: 0.00100000 || Batchtime: 0.1340 s || ETA: 0:08:00
2023-08-14 02:54:59,149 - INFO: Epoch:1/200 || Epochiter: 14/18 || Iter: 14/3600 || Loc: 3.3643 Cla: 2.8529 Landm: 19.5745 || LR: 0.00100000 || Batchtime: 0.1299 s || ETA: 0:07:45
2023-08-14 02:54:59,308 - INFO: Epoch:1/200 || Epochiter: 15/18 || Iter: 15/3600 || Loc: 3.0944 Cla: 2.5641 Landm: 18.3041 || LR: 0.00100000 || Batchtime: 0.1321 s || ETA: 0:07:53
2023-08-14 02:54:59,482 - INFO: Epoch:1/200 || Epochiter: 16/18 || Iter: 16/3600 || Loc: 3.0173 Cla: 2.4344 Landm: 16.1336 || LR: 0.00100000 || Batchtime: 0.1514 s || ETA: 0:09:02
2023-08-14 02:54:59,659 - INFO: Epoch:1/200 || Epochiter: 17/18 || Iter: 17/3600 || Loc: 3.2598 Cla: 2.3863 Landm: 15.1568 || LR: 0.00100000 || Batchtime: 0.1515 s || ETA: 0:09:02
2023-08-14 02:55:04,135 - INFO: Epoch:1/200 || Epochiter: 18/18 || Iter: 18/3600 || Loc: 2.8079 Cla: 2.2275 Landm: 15.7200 || LR: 0.00100000 || Batchtime: 4.4752 s || ETA: 4:27:14
2023-08-14 02:55:05,032 - INFO: Epoch:2/200 || Epochiter: 1/18 || Iter: 19/3600 || Loc: 2.8626 Cla: 1.9913 Landm: 16.1956 || LR: 0.00100000 || Batchtime: 0.6466 s || ETA: 0:38:36
2023-08-14 02:55:05,193 - INFO: Epoch:2/200 || Epochiter: 2/18 || Iter: 20/3600 || Loc: 2.6569 Cla: 1.9946 Landm: 13.9805 || LR: 0.00100000 || Batchtime: 0.1281 s || ETA: 0:07:38
2023-08-14 02:55:05,331 - INFO: Epoch:2/200 || Epochiter: 3/18 || Iter: 21/3600 || Loc: 2.7644 Cla: 1.9715 Landm: 15.2033 || LR: 0.00100000 || Batchtime: 0.1173 s || ETA: 0:07:00
2023-08-14 02:55:05,492 - INFO: Epoch:2/200 || Epochiter: 4/18 || Iter: 22/3600 || Loc: 2.5106 Cla: 1.7693 Landm: 14.4373 || LR: 0.00100000 || Batchtime: 0.1298 s || ETA: 0:07:44
2023-08-14 02:55:05,709 - INFO: Epoch:2/200 || Epochiter: 5/18 || Iter: 23/3600 || Loc: 2.3382 Cla: 1.9169 Landm: 12.9658 || LR: 0.00100000 || Batchtime: 0.1988 s || ETA: 0:11:51
2023-08-14 02:55:05,857 - INFO: Epoch:2/200 || Epochiter: 6/18 || Iter: 24/3600 || Loc: 2.2236 Cla: 2.0809 Landm: 14.0369 || LR: 0.00100000 || Batchtime: 0.1249 s || ETA: 0:07:26
2023-08-14 02:55:06,002 - INFO: Epoch:2/200 || Epochiter: 7/18 || Iter: 25/3600 || Loc: 1.9505 Cla: 1.7481 Landm: 13.9648 || LR: 0.00100000 || Batchtime: 0.1098 s || ETA: 0:06:32
2023-08-14 02:55:06,145 - INFO: Epoch:2/200 || Epochiter: 8/18 || Iter: 26/3600 || Loc: 2.0300 Cla: 1.9225 Landm: 12.2404 || LR: 0.00100000 || Batchtime: 0.1216 s || ETA: 0:07:14
2023-08-14 02:55:06,341 - INFO: Epoch:2/200 || Epochiter: 9/18 || Iter: 27/3600 || Loc: 1.7764 Cla: 1.8049 Landm: 11.2976 || LR: 0.00100000 || Batchtime: 0.1740 s || ETA: 0:10:22
2023-08-14 02:55:06,486 - INFO: Epoch:2/200 || Epochiter: 10/18 || Iter: 28/3600 || Loc: 2.0276 Cla: 1.8046 Landm: 13.6779 || LR: 0.00100000 || Batchtime: 0.1220 s || ETA: 0:07:16
2023-08-14 02:55:06,649 - INFO: Epoch:2/200 || Epochiter: 11/18 || Iter: 29/3600 || Loc: 1.6933 Cla: 1.7795 Landm: 10.5684 || LR: 0.00100000 || Batchtime: 0.1407 s || ETA: 0:08:22
2023-08-14 02:55:06,823 - INFO: Epoch:2/200 || Epochiter: 12/18 || Iter: 30/3600 || Loc: 2.0253 Cla: 1.8777 Landm: 11.0602 || LR: 0.00100000 || Batchtime: 0.1514 s || ETA: 0:09:00
2023-08-14 02:55:06,981 - INFO: Epoch:2/200 || Epochiter: 13/18 || Iter: 31/3600 || Loc: 2.3477 Cla: 1.9933 Landm: 12.0291 || LR: 0.00100000 || Batchtime: 0.1367 s || ETA: 0:08:07
2023-08-14 02:55:07,178 - INFO: Epoch:2/200 || Epochiter: 14/18 || Iter: 32/3600 || Loc: 1.6869 Cla: 1.6998 Landm: 8.8763 || LR: 0.00100000 || Batchtime: 0.1751 s || ETA: 0:10:24
2023-08-14 02:55:07,376 - INFO: Epoch:2/200 || Epochiter: 15/18 || Iter: 33/3600 || Loc: 1.6187 Cla: 1.8852 Landm: 10.5027 || LR: 0.00100000 || Batchtime: 0.1764 s || ETA: 0:10:29
2023-08-14 02:55:07,532 - INFO: Epoch:2/200 || Epochiter: 16/18 || Iter: 34/3600 || Loc: 1.3669 Cla: 1.7138 Landm: 8.8327 || LR: 0.00100000 || Batchtime: 0.1353 s || ETA: 0:08:02
2023-08-14 02:55:07,693 - INFO: Epoch:2/200 || Epochiter: 17/18 || Iter: 35/3600 || Loc: 1.4906 Cla: 1.8586 Landm: 9.5765 || LR: 0.00100000 || Batchtime: 0.1368 s || ETA: 0:08:07
2023-08-14 02:55:07,894 - INFO: Epoch:2/200 || Epochiter: 18/18 || Iter: 36/3600 || Loc: 1.6593 Cla: 1.8738 Landm: 9.0815 || LR: 0.00100000 || Batchtime: 0.2012 s || ETA: 0:11:57
2023-08-14 02:55:08,700 - INFO: Epoch:3/200 || Epochiter: 1/18 || Iter: 37/3600 || Loc: 1.6954 Cla: 1.6615 Landm: 8.6828 || LR: 0.00100000 || Batchtime: 0.5304 s || ETA: 0:31:30
2023-08-14 02:55:08,859 - INFO: Epoch:3/200 || Epochiter: 2/18 || Iter: 38/3600 || Loc: 1.3869 Cla: 1.5110 Landm: 7.7444 || LR: 0.00100000 || Batchtime: 0.1288 s || ETA: 0:07:38
2023-08-14 02:55:09,015 - INFO: Epoch:3/200 || Epochiter: 3/18 || Iter: 39/3600 || Loc: 1.3730 Cla: 1.7180 Landm: 8.0642 || LR: 0.00100000 || Batchtime: 0.1367 s || ETA: 0:08:07
2023-08-14 02:55:09,193 - INFO: Epoch:3/200 || Epochiter: 4/18 || Iter: 40/3600 || Loc: 1.3193 Cla: 1.5486 Landm: 6.4925 || LR: 0.00100000 || Batchtime: 0.1584 s || ETA: 0:09:24
2023-08-14 02:55:09,369 - INFO: Epoch:3/200 || Epochiter: 5/18 || Iter: 41/3600 || Loc: 1.6611 Cla: 1.6544 Landm: 7.6781 || LR: 0.00100000 || Batchtime: 0.1469 s || ETA: 0:08:42
2023-08-14 02:55:09,560 - INFO: Epoch:3/200 || Epochiter: 6/18 || Iter: 42/3600 || Loc: 1.7959 Cla: 1.6086 Landm: 6.7361 || LR: 0.00100000 || Batchtime: 0.1649 s || ETA: 0:09:47
2023-08-14 02:55:09,744 - INFO: Epoch:3/200 || Epochiter: 7/18 || Iter: 43/3600 || Loc: 1.6215 Cla: 2.2420 Landm: 7.1002 || LR: 0.00100000 || Batchtime: 0.1610 s || ETA: 0:09:32
2023-08-14 02:55:09,888 - INFO: Epoch:3/200 || Epochiter: 8/18 || Iter: 44/3600 || Loc: 1.1351 Cla: 1.5486 Landm: 6.7826 || LR: 0.00100000 || Batchtime: 0.1220 s || ETA: 0:07:13
